[ INFO ] Sending message (size: 250 bytes)...
[ DEBUG ] Refilling buffer (startSeq: 0, amount: 250)
[ DEBUG ] Last seq in buffer: 249
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 98)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 99)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 100)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 101)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 102)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 103)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 104)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 105)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 106)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 107)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 108)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 109)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 110)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 111)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 112)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 113)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 114)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 115)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 116)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 117)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 118)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 119)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 120)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 121)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 122)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 123)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 124)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 125)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 126)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 127)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 128)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 129)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 130)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 131)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 132)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 133)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 134)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 135)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 136)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 137)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 138)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 139)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 140)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 141)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 142)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 143)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 144)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 145)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 146)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 147)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 148)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 149)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 150)
